LOG1467 : Logger results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);;
;;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;;
;;1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];Audio;Wave
No;Date & time;20 Hz;25 Hz;31.5 Hz;40 Hz;50 Hz;63 Hz;80 Hz;100 Hz;125 Hz;160 Hz;200 Hz;250 Hz;315 Hz;400 Hz;500 Hz;630 Hz;800 Hz;1000 Hz;1250 Hz;1600 Hz;2000 Hz;2500 Hz;3150 Hz;4000 Hz;5000 Hz;6300 Hz;8000 Hz;10000 Hz;12500 Hz;16000 Hz;20000 Hz;Total A;Total C;Total Z;;
1;1-1-2012 0:50:48.200;41,4;35,4;36,5;43,8;41,3;39,1;33,6;37,8;38,4;45,4;43,4;47,2;43,3;43,9;36,3;35,4;36,9;36,7;34,8;34,7;35,4;35,3;33,5;34,2;32,2;29,5;31;32,2;27,2;22,3;22,3;50;58;62,2;1;0
2;1-1-2012 0:50:48.400;39,8;34,7;38,5;40,7;40,1;37,3;30,5;38,8;40,6;44;54,9;62,1;45,1;42,7;45,1;36,5;38,4;38,6;35,3;36,6;37;39,7;38,1;47,5;53,3;45,2;45,3;42,8;37,6;25,6;22,7;58,2;63,2;65,6;1;0
3;1-1-2012 0:50:48.600;40,9;32,8;44,2;37,8;36,1;37,3;31,2;39,1;40;42,3;49,1;55,6;42,8;41,1;40,1;34,9;34,7;36,9;33,9;36,4;41,5;40,8;38,8;48,8;52,6;44,3;44,5;41,8;36,3;25,6;21,8;56,7;58,9;65,1;1;0
4;1-1-2012 0:50:48.800;43,5;36,3;42,6;38,2;38,7;38,2;32,4;39,9;39,5;42,6;44,8;49,4;41,6;40;36,7;33,7;33,1;34,9;32,6;35,4;37,2;37,7;35,1;42,1;45,7;37,7;37,8;35,5;30,4;22,6;19,9;51;54,8;62,3;1;0
5;1-1-2012 0:50:49.000;40;36,1;44,7;42,5;41;37,7;30,4;40,1;39,2;44,1;44,6;44,6;40,5;39,4;34,8;34,2;31,7;33,6;32,1;34,3;34,6;35,8;32,8;35,9;38,9;31,2;31,2;29,9;25,3;20,3;19,1;47,1;53,3;60,7;1;0
