LOG1468 : Logger results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);Ch1 (SLM);
;;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;1/3 Octave;
;;1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];1/3 Oct LEQ [dB];Audio
No;Date & time;20 Hz;25 Hz;31.5 Hz;40 Hz;50 Hz;63 Hz;80 Hz;100 Hz;125 Hz;160 Hz;200 Hz;250 Hz;315 Hz;400 Hz;500 Hz;630 Hz;800 Hz;1000 Hz;1250 Hz;1600 Hz;2000 Hz;2500 Hz;3150 Hz;4000 Hz;5000 Hz;6300 Hz;8000 Hz;10000 Hz;12500 Hz;16000 Hz;20000 Hz;Total A;Total C;Total Z;
1;1-1-2012 1:16:24.200;37,1;38;33,1;32,3;40,1;29,1;22,3;36,1;37,2;43,4;39,7;38,3;37,6;37;32,7;31,9;29;27,1;27,7;30,6;30;31,7;34,3;33,3;28,4;22,4;21,3;21,1;16,6;18,1;18,7;43,4;50;59,2;1
2;1-1-2012 1:16:24.400;34,6;34,5;37;35,7;39,4;30,8;20,1;32,3;36,5;42,9;39,6;38;40,6;38;34,5;32,3;31,1;29,5;28,7;30,7;32,6;35,8;34,5;32;30,9;27,1;27,5;31,1;22,5;20,2;19,8;44,7;50,6;59,8;1
3;1-1-2012 1:16:24.600;34,1;38;35,7;35,1;40;33,4;21,1;31,2;36,3;42,2;40,4;36,8;39,8;38,6;35,6;33,6;31,3;30,4;28;30,8;31,8;35;33,3;30,7;30,2;27,9;27,1;30;21,5;19,7;19,7;44,4;50,2;58,5;1
4;1-1-2012 1:16:24.800;40,1;37,3;36,4;31,2;37;32,3;20,3;34,8;36,7;41,8;39;38,2;39,7;38,7;34,7;32,4;30,4;29,4;27,5;29,1;30,3;33,7;32,7;29;27,2;25,3;23,1;25,1;18,5;18,1;19,5;43,3;49,2;55,7;1
5;1-1-2012 1:16:25.000;41,1;36,2;34,2;26,8;37,6;29,6;21,8;33,6;36,8;40,2;39,2;39,3;40,2;38,3;35,3;32;30,4;29,4;26,6;28,8;30,1;33,8;33,3;31,2;27,8;23,8;21,6;23,5;18;17,8;19,7;43,5;49,8;62;1
